Time_ms,Angle_deg,Buzzer_Active
1542,90,0
1659,90,0
1776,90,0
1894,90,0
2011,90,0
2127,90,0
2244,90,0
2362,90,0
2480,90,0
2597,90,0
2714,90,0
2831,90,0
2947,90,0
3063,90,0
3181,90,0
3298,90,0
3416,90,0
3532,90,0
3649,90,0
3766,90,0
3883,90,0
4000,90,0
4117,90,0
4233,90,0
4349,90,0
4466,90,0
4583,90,0
4700,90,0
4818,89,0
4935,90,0
5053,90,0
5172,90,0
5288,91,0
5405,90,0
5524,90,0
5643,88,0
5761,87,0
5879,85,0
5998,84,1
6117,85,0
6236,84,1
6354,84,1
6473,84,1
6592,84,1
6711,84,1
6830,84,1
6948,85,0
7067,86,0
7186,89,0
7305,89,0
7424,89,0
7541,90,0
7658,90,0
7774,90,0
7892,90,0
8009,90,0
8127,90,0
8244,90,0
8360,90,0
8477,91,0
8594,90,0
8711,90,0
8826,91,0
8943,91,0
9060,90,0
9177,90,0
9293,90,0
9411,90,0
9528,90,0
9645,90,0
9761,90,0
9878,90,0
9994,90,0
10110,92,0
10228,93,0
10346,94,0
10464,95,0
10582,95,0
10699,95,0
10817,95,0
10935,95,0
11053,95,0
11170,95,0
11288,95,0
11406,95,0
11524,95,0
11641,95,0
11759,96,0
11876,94,0
11994,91,0
12111,90,0
12231,89,0
12351,86,0
12471,84,1
12591,82,1
12710,79,1
12830,79,1
12950,78,1
13070,77,1
13190,78,1
13309,78,1
13429,79,1
13549,79,1
13669,81,1
13789,83,1
13908,85,0
14028,89,0
14147,90,0
14265,90,0
14385,90,0
14502,90,0
14621,90,0
14739,90,0
14857,90,0
14976,90,0
15094,90,0
15212,90,0
15330,90,0
15448,90,0
15566,90,0
15684,90,0
15804,90,0
15922,90,0
16039,90,0
16157,90,0
16275,90,0
16393,90,0
16512,90,0
16629,90,0
16747,90,0
16865,90,0
16984,90,0
17101,90,0
17219,90,0
17337,90,0
17455,90,0
17572,90,0
17691,90,0
17809,90,0
17927,90,0
18044,90,0
18163,90,0
18282,90,0
18400,90,0
18518,90,0
18635,90,0
18754,90,0
18872,90,0
18991,90,0
19108,90,0
19227,90,0
19345,90,0
19463,90,0
19582,90,0
19702,89,0
19821,90,0
19939,90,0
20001,90,0
20060,90,0
20119,90,0
20177,90,0
20236,90,0
20295,90,0
20354,90,0
20413,90,0
20471,90,0
20530,90,0
20589,90,0
20647,90,0
20707,90,0
20765,90,0
20825,90,0
20883,90,0
20941,90,0
21001,90,0
21059,90,0
21118,90,0
21177,90,0
21235,90,0
21295,90,0
21353,90,0
21412,90,0
21471,90,0
21529,90,0
21588,90,0
21647,90,0
21706,90,0
21765,90,0
21824,90,0
21882,90,0
21941,90,0
22000,90,0
22059,90,0
22118,90,0
22176,90,0
22235,90,0
22294,90,0
22352,90,0
22412,90,0
22470,90,0
22529,90,0
22588,90,0
22646,90,0
22706,90,0
22764,90,0
22823,90,0
22882,90,0
22940,90,0
23000,90,0
23058,90,0
23117,90,0
23176,90,0
23234,90,0
23293,90,0
23352,90,0
23411,90,0
23470,90,0
23528,90,0
23587,90,0
23646,90,0
23705,90,0
23763,90,0
23823,90,0
23881,90,0
23940,90,0
23999,90,0
24057,90,0
24117,90,0
24175,90,0
24233,90,0
24293,90,0
24351,90,0
24411,90,0
24469,90,0
24527,90,0
24587,90,0
24645,90,0
